t,vLoca,vLocb,vLocc
0.0107030002400279,545764.375,-685343.0625,129785.3359375
0.0107039995491505,545895.1875,-685075.9375,129394.828125
0.0107049997895956,546025.9375,-684789.6875,128983.140625
0.0107060000300407,546153.25,-684478.0625,128547.9453125
0.0107070002704859,546273.625,-684134.8125,128087.0859375
0.0107079995796084,546383.5625,-683754.4375,127598.8671875
0.0107089998200536,546480.375,-683332.5625,127082.25
0.0107100000604987,546562,-682866.8125,126536.984375
0.0107110003009439,546627.5625,-682356.5,125963.703125
0.0107119996100664,546677.0625,-681803.125,125363.9375
0.0107129998505116,546711.6875,-681210,124740.078125
0.0107140000909567,546733.375,-680582.3125,124095.3203125
0.0107150003314018,546744.75,-679926.5,123433.5703125
0.0107159996405244,546748.875,-679250.1875,122759.3515625
0.0107169998809695,546749,-678561.625,122077.6484375
0.0107180001214147,546748.4375,-677869.375,121393.796875
0.0107190003618598,546750.3125,-677182.1875,120713.328125
0.0107199996709824,546757.375,-676508.375,120041.859375
0.0107209999114275,546772.125,-675855.875,119384.8828125
0.0107220001518726,546796.4375,-675231.75,118747.6484375
0.0107230003923178,546831.9375,-674642.5,118135.0234375
0.0107239997014403,546879.875,-674093.375,117551.3359375
0.0107249999418855,546941.0625,-673588.8125,117000.234375
0.0107260001823306,547016.25,-673132.125,116484.6328125
0.0107270004227757,547105.8125,-672725.75,116006.5703125
0.0107279997318983,547210.0625,-672370.875,115567.203125
0.0107289999723434,547329.375,-672068,115166.78125
0.0107300002127886,547464,-671816.5625,114804.6796875
0.0107310004532337,547614.0625,-671615.125,114479.4296875
0.0107319997623563,547779.75,-671461.6875,114188.8046875
0.0107330000028014,547961.1875,-671353.5,113929.9921875
0.0107340002432466,548158.3125,-671287.125,113699.640625
0.0107349995523691,548371.125,-671258.9375,113494.09375
0.0107359997928143,548599.25,-671264.6875,113309.4765625
0.0107370000332594,548842.1875,-671300.25,113141.90625
0.0107380002737045,549099.1875,-671361.125,112987.59375
0.0107389995828271,549369.375,-671443.0625,112842.9921875
0.0107399998232722,549651.5,-671541.6875,112704.921875
0.0107410000637174,549944.1875,-671653.1875,112570.609375
0.0107420003041625,550245.9375,-671773.8125,112437.78125
0.0107429996132851,550555.0625,-671900.3125,112304.6796875
0.0107439998537302,550869.75,-672029.875,112170.0546875
0.0107450000941753,551188.1875,-672160.1875,112033.15625
0.0107460003346205,551508.6875,-672289.375,111893.6875
0.010746999643743,551829.5,-672416.0625,111751.7421875
0.0107479998841882,552149.1875,-672539.375,111607.7265625
0.0107490001246333,552466.3125,-672658.8125,111462.328125
0.0107500003650784,552779.75,-672774.25,111316.3828125
0.010750999674201,553088.5625,-672885.9375,111170.8359375
0.0107519999146461,553391.9375,-672994.375,111026.6875
0.0107530001550913,553689.375,-673100.25,110884.8828125
0.0107540003955364,553980.625,-673204.25,110746.3125
0.010754999704659,554265.5625,-673307.375,110611.765625
0.0107559999451041,554544.0625,-673410.5,110481.90625
0.0107570001855493,554816.375,-673514.5,110357.2890625
0.0107580004259944,555082.6875,-673620.3125,110238.3359375
0.010758999735117,555343.25,-673728.75,110125.375
0.0107599999755621,555598.3125,-673840.4375,110018.6015625
0.0107610002160072,555848.125,-673956.1875,109918.1484375
0.0107620004564524,556092.9375,-674076.3125,109824.03125
0.0107629997655749,556333.0625,-674201.375,109736.2109375
0.0107640000060201,556568.4375,-674331.625,109654.625
0.0107650002464652,556799.3125,-674467.25,109579.1796875
0.0107659995555878,557025.6875,-674608.3125,109509.7734375
0.0107669997960329,557247.4375,-674755,109446.34375
0.010768000036478,557464.5625,-674907.3125,109388.828125
0.0107690002769232,557676.9375,-675065.125,109337.1953125
0.0107699995860457,557884.5,-675228.5,109291.3984375
0.0107709998264909,558087.125,-675397.1875,109251.375
0.010772000066936,558284.6875,-675571.0625,109217.03125
0.0107730003073812,558477.25,-675749.875,109188.2265625
0.0107739996165037,558664.75,-675933.25,109164.7578125
0.0107749998569489,558847.1875,-676120.875,109146.3828125
0.010776000097394,559024.6875,-676312.25,109132.8046875
0.0107770003378391,559197.5,-676506.9375,109123.6328125
